Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
3e6fff7a-9d5d-37bf-9fe9-150723a16d0b,ST ELIZABETH FT THOMAS,85 NORTH GRAND AVENUE,FORT THOMAS,KY,41075,39.081974,-84.453172,8595723100,2265.0,28
14157524-aba2-32f5-9042-226fb79cc479,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,38.040157,-84.458443,8593131000,365.32,4
b29c23c6-1e71-37da-9086-2510cbd3edf2,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,42701,37.704338,-85.877039,2707371212,968.1000000000001,11
c3b07881-5132-3638-8bd1-f5ffa9bbb95a,JEWISH HOSPITAL - SHELBYVILLE,727 HOSPITAL DRIVE,SHELBYVILLE,KY,40065,38.205898,-85.228181,5026474300,164.39999999999998,4
5a8fe97f-11c8-3fe9-83a3-5dad019974b0,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,3600 WEST CUMBERLAND AVENUE,MIDDLESBORO,KY,40965,36.646347,-83.720813,6062421100,7270.070000000012,120
87136782-d013-3ec4-b0ac-32078d1ef864,SPRING VIEW HOSPITAL,320 LORETTO ROAD,LEBANON,KY,40033,37.835567,-85.721427,2706925145,7726.690000000006,119
810586e8-ef16-3836-ab16-e02364655dcb,FLAGET MEMORIAL HOSPITAL,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,KY,40004,37.819782,-85.4513,5023505000,4128.220000000002,66
c8a0e462-312a-377b-818e-4f19fd16e308,MURRAY-CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,MURRAY,KY,42071,36.618095,-88.31345300000002,2707621100,1059.43,12
d89b9f0b-fb33-3c4a-b84c-99c60350c24c,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,39.008725,-84.55988,8593012000,109.6,2
692b710b-6e8c-3402-931a-da3fbce9d050,OUR LADY OF BELLEFONTE HOSPITAL,1000 SAINT CHRISTOPHER DRIVE,ASHLAND,KY,41101,38.465553,-82.65573,6068333600,785.44,9
2fee37db-6264-397e-8897-f2818560674e,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,KY,42303,37.760458,-87.12013,2704172000,146.13,2
38243e23-8f0a-3320-a433-4f9fb5c53024,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,38.178077,-85.666708,5025874011,1132.5,14
92d59b4d-2c6d-36ed-8f31-80ea1a9fbe42,ST ELIZABETH FLORENCE,4900 HOUSTON ROAD,FLORENCE,KY,41042,38.987219,-84.64701600000002,8592125220,1753.5399999999995,20
c3dd15a9-35ef-308a-ba95-72ce780b5af9,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,HOPKINSVILLE,KY,42240,36.839284,-87.47354399999998,2708870100,219.2,4
70035e90-3d0a-39d7-af32-691b4bacf7d0,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,KY,42420,37.838416,-87.58097099999998,2708277700,785.44,9
ef4600d5-9363-3d72-b1fe-50111234c62a,LOGAN MEMORIAL HOSPITAL,1625 NASHVILLE STREET,RUSSELLVILLE,KY,42276,36.839518,-86.895579,2707264011,876.7700000000001,10
ab16744c-9a99-3ab7-9614-05edeed105a7,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,KY,40536,38.038002,-84.594503,8592572278,968.1000000000001,11
1cd5ba1f-1cf8-302f-bea4-d4aade14d9ed,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,36.907414,-84.13300500000003,6065281212,3744.6600000000035,67
